Complaint ID,Location,Road Name,Severity,Reported Date,Status,Description,Action Taken
435,Andheri,Link Road,Medium,2025-04-30,Pending,Pothole with water accumulation,Repaired
211,Bandra,Western Express Hwy,Low,2025-04-30,Pending,Deep pothole affecting traffic,Pending
334,Andheri,LBS Road,Low,2025-04-30,Pending,Pothole with water accumulation,Under review
128,Malad,LBS Road,Medium,2025-04-30,Pending,Pothole with water accumulation,Under review
293,Andheri,LBS Road,High,2025-04-30,Resolved,Small pothole near traffic signal,Pending
142,Malad,JVLR Road,Low,2025-04-30,Resolved,Pothole with water accumulation,Under review
80,Andheri,LBS Road,Low,2025-04-30,Pending,Small pothole near traffic signal,Repaired
151,Dadar,JVLR Road,High,2025-04-30,Pending,Large pothole in high-traffic area,Pending
329,Malad,Western Express Hwy,High,2025-04-30,Resolved,Large pothole in high-traffic area,Pending
466,Sion,Link Road,High,2025-04-30,Pending,Large pothole in high-traffic area,Under review
231,Sion,Eastern Express Hwy,High,2025-04-30,Pending,Pothole with water accumulation,Repaired
359,Dadar,Linking Road,Low,2025-04-30,Pending,Pothole affecting bus lanes,Pending
49,Kurla,Eastern Express Hwy,Medium,2025-04-30,Resolved,Small pothole near pedestrian crossing,Repaired
348,Sion,Western Express Hwy,High,2025-04-30,Pending,Large pothole in the middle of the road,Pending
120,Dadar,LBS Road,Low,2025-04-30,Pending,Pothole affecting bus lanes,Repaired
230,Kurla,Sion Trombay Road,High,2025-04-30,Resolved,Large pothole in the middle of the road,Under review
392,Kurla,LBS Road,High,2025-04-30,Resolved,Large pothole in high-traffic area,Under review
494,Malad,JVLR Road,High,2025-04-30,Resolved,Pothole with water accumulation,Repaired
405,Malad,Western Express Hwy,High,2025-04-30,Pending,Small pothole near traffic signal,Repaired
165,Kurla,SV Road,High,2025-04-30,Pending,Pothole with water accumulation,Repaired
471,Dadar,Linking Road,Low,2025-04-30,Resolved,Small pothole near pedestrian crossing,Under review
217,Borivali,Linking Road,High,2025-04-30,Pending,Large pothole in the middle of the road,Under review
483,Borivali,Eastern Express Hwy,Medium,2025-04-30,Resolved,Huge pothole causing vehicle damage,Repaired
234,Vile Parle,SV Road,Low,2025-04-30,Resolved,Deep pothole affecting traffic,Pending
407,Vile Parle,Linking Road,Low,2025-04-30,Pending,Deep pothole affecting traffic,Under review
43,Sion,Eastern Express Hwy,Low,2025-04-30,Pending,Large pothole in the middle of the road,Under review
332,Borivali,Eastern Express Hwy,High,2025-04-30,Pending,Deep pothole affecting traffic,Repaired
320,Sion,SV Road,High,2025-04-30,Pending,Small pothole near traffic signal,Repaired
252,Andheri,LBS Road,High,2025-04-30,Resolved,Small pothole near traffic signal,Repaired
64,Dadar,LBS Road,Medium,2025-04-30,Resolved,Large pothole in the middle of the road,Pending
273,Borivali,Eastern Express Hwy,High,2025-04-30,Resolved,Pothole affecting bus lanes,Pending
459,Sion,JVLR Road,High,2025-04-30,Pending,Pothole with water accumulation,Pending
97,Malad,JVLR Road,Low,2025-04-30,Resolved,Deep pothole affecting traffic,Repaired
447,Malad,LBS Road,Medium,2025-04-30,Pending,Pothole with water accumulation,Pending
113,Kurla,Eastern Express Hwy,Medium,2025-04-30,Resolved,Large pothole in high-traffic area,Repaired
53,Sion,SV Road,Medium,2025-04-30,Pending,Small pothole near traffic signal,Pending
36,Kurla,SV Road,Medium,2025-04-30,Resolved,Huge pothole causing vehicle damage,Pending
148,Sion,SV Road,Low,2025-04-30,Resolved,Small pothole near pedestrian crossing,Pending
178,Andheri,JVLR Road,Low,2025-04-30,Resolved,Large pothole in high-traffic area,Under review
16,Andheri,LBS Road,High,2025-04-30,Resolved,Pothole with water accumulation,Under review
226,Malad,JVLR Road,Medium,2025-04-30,Pending,Deep pothole affecting traffic,Pending
223,Bandra,Western Express Hwy,Low,2025-04-30,Pending,Huge pothole causing vehicle damage,Pending
306,Dadar,Linking Road,Medium,2025-04-30,Pending,Small pothole near traffic signal,Pending
94,Bandra,Western Express Hwy,Medium,2025-04-30,Resolved,Large pothole in high-traffic area,Pending
50,Bandra,Eastern Express Hwy,High,2025-04-30,Pending,Huge pothole causing vehicle damage,Pending
446,Kurla,JVLR Road,Medium,2025-04-30,Resolved,Small pothole near pedestrian crossing,Under review
358,Andheri,Western Express Hwy,High,2025-04-30,Pending,Small pothole near traffic signal,Pending
437,Vile Parle,Western Express Hwy,Low,2025-04-30,Resolved,Deep pothole affecting traffic,Under review
455,Andheri,Eastern Express Hwy,Medium,2025-04-30,Pending,Pothole affecting bus lanes,Repaired
116,Bandra,JVLR Road,Medium,2025-04-30,Resolved,Pothole with water accumulation,Under review
418,Andheri,Link Road,Low,2025-04-30,Pending,Large pothole in high-traffic area,Pending
156,Borivali,Link Road,Medium,2025-04-30,Pending,Large pothole in the middle of the road,Pending
39,Kurla,JVLR Road,Medium,2025-04-30,Pending,Small pothole near traffic signal,Pending
